REDE;MAC_ADDRESS;POWER;LATITUDE;LONGITUDE
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:84:b8;-80;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:a4:84:98;-88;-8.05192;-34.95344
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05134;-34.95339
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
